City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,fale old settlement,-9.3852,-171.2468,28.18,80,72,7.51,TK,1694961883
316,sosnovo-ozerskoye,52.5249,111.5418,9.37,86,99,1.59,RU,1694961883
317,tarakan,3.3,117.6333,27.74,78,98,3.15,ID,1694961883
318,nikolayevsk-on-amure,53.1406,140.73,7.73,78,95,0.43,RU,1694961883
319,holualoa,19.6228,-155.9522,23.21,73,65,2.24,US,1694961883
320,mildura,-34.2,142.15,19.48,38,88,6.34,AU,1694961883
321,kapuskasing,49.4169,-82.4331,11.05,93,100,4.63,CA,1694961884
322,vorkuta,67.5,64.0,4.95,79,100,4.89,RU,1694961884
323,jijiga,9.35,42.8,24.48,51,64,2.68,ET,1694961649
324,sitka,57.0531,-135.33,12.94,82,100,9.26,US,1694961884
325,mocoa,1.1493,-76.6466,27.47,75,97,0.45,CO,1694961884
326,konjic,43.6519,17.9614,29.49,56,91,0.33,BA,1694961884
327,papao,-17.75,-149.55,23.82,83,9,4.61,PF,1694961885
328,bayanhongor,46.7167,100.1167,1.24,86,99,2.03,MN,1694961885
329,pacific grove,36.6177,-121.9166,16.06,88,40,0.89,US,1694961885
330,daru,-9.0763,143.2092,23.85,77,8,6.06,PG,1694961885
331,ayyampettai,10.9014,79.1798,27.14,81,92,6.56,IN,1694961885
332,georgetown,5.4112,100.3354,28.86,89,20,1.54,MY,1694961885
333,lehigh acres,26.6254,-81.6248,32.23,75,42,1.34,US,1694961885
334,quilali,13.567,-86.026,27.07,75,77,2.11,NI,1694961886
335,zhosaly,45.4878,64.0781,21.9,24,100,4.46,KZ,1694961878
336,macau,22.2006,113.5461,28.89,94,40,3.09,MO,1694961788
337,perevoz,55.5961,44.5446,12.71,65,24,0.9,RU,1694961886
338,chambishi,-12.6325,28.0537,32.36,11,19,2.42,ZM,1694961886
339,bay city,43.5945,-83.8889,17.18,90,100,4.63,US,1694961887
340,la junta,37.985,-103.5438,13.16,76,0,4.12,US,1694961887
341,qiancheng,27.185,109.7654,25.01,82,67,0.94,CN,1694961887
342,kailua-kona,19.6406,-155.9956,25.28,75,63,2.24,US,1694961887
343,byron bay,-28.65,153.6167,13.73,87,6,4.18,AU,1694961887
344,lexington park,38.2668,-76.4538,25.91,60,75,4.12,US,1694961888
345,ciudad melchor muzquiz,27.8833,-101.5167,25.73,62,37,1.84,MX,1694961888
346,turpan,42.9333,89.1667,25.68,25,93,1.2,CN,1694961888
347,pahrump,36.2083,-115.9839,19.03,24,5,1.52,US,1694961889
348,prince george,53.9166,-122.753,7.01,96,40,3.09,CA,1694961889
349,port lincoln,-34.7333,135.8667,14.32,86,97,4.95,AU,1694961889
350,margate,51.3813,1.3862,21.06,81,100,2.24,GB,1694961736
351,callaway,30.153,-85.5699,26.62,94,75,1.54,US,1694961889
352,antonio enes,-16.2325,39.9086,25.69,76,1,6.9,MZ,1694961889
353,tibanbang,6.6315,126.1055,26.48,83,97,0.22,PH,1694961890
354,fort mcmurray,56.7268,-111.381,7.77,100,0,3.09,CA,1694961890
355,del rio,29.3627,-100.8968,26.06,67,100,2.57,US,1694961890
356,katzrin,32.992,35.6877,30.77,35,0,7.2,IL,1694961890
357,gopamau,27.55,80.2833,27.89,81,100,3.09,IN,1694961890
358,albertina,-22.2008,-46.6158,32.59,26,0,0.86,BR,1694961890
359,mamuju,-2.6748,118.8885,25.9,85,97,1.39,ID,1694961891
360,kone,-21.0595,164.8658,19.39,89,15,2.03,NC,1694961891
361,yuzhno-kurilsk,44.0306,145.8556,17.75,99,100,4.12,RU,1694961891
362,bhadasar,28.2833,74.3167,30.87,60,44,6.75,IN,1694961891
363,nampula,-15.1165,39.2666,31.97,27,40,0.0,MZ,1694961891
